City,ID Code,Latitude,Temperature,Humidity,Cloudiness,Wind
Sibolga,1213855,1.74,83.43,70,100,2.51
Quelimane,1028434,-17.88,77.0,47,40,3.36
Khasan,2039557,42.43,69.57,97,100,2.04
Brae,2654970,60.4,68.0,82,75,12.75
Kurumkan,2021188,54.33,56.43,71,100,6.78
Benguela,3351663,-12.58,75.2,73,75,6.93
Visnes,3131500,59.36,71.6,77,20,12.75
Pontianak,1630789,-0.02,81.81,78,100,12.53
Vila Velha,6320062,-3.71,80.6,74,75,12.75
Aswan,359792,24.09,102.51,9,0,13.91
Ayan,117656,38.23,80.01,19,71,13.13
Marsa Matruh,352733,31.35,86.0,62,0,13.87
Malkangiri,1264075,18.35,79.47,86,67,5.03
Tromso,3133895,69.65,73.4,68,40,11.41
San Cristobal,3609418,14.68,79.65,53,100,2.93
Gariaband,1271534,20.63,78.93,81,87,3.15
Klaksvik,2618795,62.23,55.4,93,100,11.41
Bollnas,2720679,61.35,74.43,52,58,4.61
Russell,4278471,38.9,72.0,82,1,3.36
Bambous Virieux,1106677,-20.34,73.4,73,40,14.99
Bettiah,1276393,26.8,85.77,76,99,6.69
Sapouy,2355869,11.55,83.25,60,51,5.1
Dubrovnik,3201047,42.65,91.4,33,20,8.05
Saint George,262462,39.45,91.0,43,40,5.82
Coquimbo,3893629,-29.95,46.4,75,0,8.05
Ishigaki,1861416,24.34,83.43,77,94,10.25
Akureyri,2633274,65.68,53.6,76,90,8.05
Seymchan,2121373,62.93,26.91,85,4,1.97
Raymond,6117675,49.47,60.8,87,75,4.7
Bam,141736,29.11,79.47,13,2,9.1
Deep River,5937073,46.1,69.01,63,20,8.05
Calvinia,3369174,-31.47,44.91,77,100,31.45
Boysun,1217734,38.2,73.71,23,0,4.68
Saskylakh,2017155,71.97,50.67,70,94,6.15
College,5859699,64.86,63.0,82,1,1.48
Carnarvon,1014034,-30.97,48.33,64,67,42.5
Bahia Honda,3567995,22.9,82.35,69,0,3.11
Dubbo,2168305,-32.25,48.2,39,0,1.12
Manjacaze,1040938,-24.71,72.99,34,0,8.7
Kruisfontein,986717,-34.0,59.85,57,16,33.4
Molchanovo,1498493,57.58,59.49,74,74,4.23
Padang,1633419,-0.92,82.35,75,100,3.49
Athabasca,5887916,54.72,67.59,83,0,3.85
Natitingou,2392601,10.31,71.6,88,75,4.7
Khatanga,2022572,71.98,52.65,53,100,12.03
Souillac,3026644,45.6,106.0,26,0,12.75
Nishihara,1850144,35.74,80.01,88,75,5.82
Temirtau,1518262,50.05,66.2,68,40,8.95
Iqaluit,5983720,63.75,39.2,100,90,4.7
Mount Gambier,2156643,-37.83,46.4,81,90,9.17
Vyartsilya,470762,62.18,72.27,47,100,4.25
Ubauro,1163021,28.16,106.83,24,94,6.76
Olinda,2154386,-37.84,50.0,75,40,12.75
Aykhal,2027296,65.95,75.2,29,93,2.24
Yarmouth,6185217,43.84,68.0,100,90,10.29
Tsogni,2400547,-2.79,72.27,88,0,15.52
Porbandar,1259395,21.64,84.51,84,100,17.47
Ratnagiri,1258338,16.98,80.73,85,63,15.84
Cleburne,4681976,32.35,79.0,65,1,12.75
Hokitika,2206894,-42.72,47.43,63,0,4.27
Ystad,2662149,55.43,81.0,61,40,14.99
Quetigny,2984775,47.31,102.99,22,0,4.7
Storslett,777381,69.77,66.2,77,0,1.12
Nemuro,2128975,43.32,59.31,87,77,13.85
Tazovskiy,1489853,67.47,55.35,68,2,17.83
Praia da Vitoria,3372760,38.73,78.8,65,20,17.9
Sarti,734339,40.1,86.31,47,24,1.5
Khuzdar,7082481,27.8,79.47,54,80,17.83
Nikolayevsk-na-amure,2122850,53.14,49.95,98,100,14.92
Nizwa,286987,22.93,90.45,39,18,11.5
Kokemaki,651980,61.26,79.0,60,0,9.17
Batagay-Alyta,2027042,67.8,49.95,47,33,4.74
Westport,4845585,41.14,68.0,88,90,5.82
Waitara,2208091,-39.0,52.29,76,100,3.51
Saint-Raymond,6639619,46.89,69.01,82,75,6.06
Port Hedland,2063042,-20.31,66.2,48,91,8.05
Ongandjera,3354178,-17.88,82.17,9,0,3.31
Sabang,1726279,13.8,80.01,90,15,1.99
Romitan,1217662,39.93,102.2,16,0,11.41
Grand Forks,5059429,47.91,71.6,64,1,3.22
Skjervoy,777682,70.03,66.2,77,0,1.12
Talnakh,1490256,69.49,60.8,77,0,20.13
San Lorenzo,3601977,13.43,84.2,66,0,1.14
Salalah,286621,17.01,82.4,88,75,13.87
Gondar,2736041,41.82,86.0,88,75,8.05
Bima,1648759,-8.45,63.81,95,57,1.88
Comodoro Rivadavia,3860443,-45.87,44.6,52,0,14.99
Coihaique,3894426,-45.58,37.4,86,40,4.7
Batemans Bay,2176639,-35.71,60.01,72,89,5.99
Petropavlovskoye,2127154,46.79,66.2,93,75,4.47
Del Rio,5520076,29.36,86.0,58,1,8.05
Calgary,5913490,51.05,68.0,77,40,3.36
Pucallpa,3693345,-8.38,35.6,331,40,1.72
Rongcheng,1786855,37.16,76.95,93,100,12.26
Havre-Saint-Pierre,5972291,50.23,64.4,68,1,9.17
Teeli,1489828,51.01,57.69,75,100,4.09
Bayan,1813029,36.1,53.01,85,100,4.92
Gubkinskiy,1539209,64.43,68.67,60,33,14.12
Ballangen,3162108,68.34,77.0,47,0,10.29
Zhangye,1785036,38.94,66.15,41,67,8.88
Mitu,117392,36.2,92.97,13,51,12.84
Chitipa,235751,-9.7,67.05,42,50,8.34
San Rafael,3836669,-34.61,44.01,35,0,1.1
Casian,673382,44.5,82.4,61,40,11.41
Yerbogachen,2012956,61.28,66.51,50,100,9.33
Shangzhi,2035002,45.21,66.33,93,100,3.13
The Valley,3573374,18.22,89.01,66,20,18.34
Madimba,2221046,4.42,86.0,74,75,3.36
Udachnyy,2014624,66.42,75.2,29,39,2.24
Haines Junction,5969025,60.75,49.95,97,100,7.85
Acapulco,3533462,16.86,77.0,88,90,6.93
Cotonou,2394819,6.37,80.6,83,20,13.87
Moerai,4034188,-22.43,74.97,88,97,23.8
Thunder Bay,6166142,48.41,70.0,88,40,4.7
Pathein,1328421,16.78,80.73,87,100,5.86
Nova Olinda do Norte,3393838,-3.89,91.53,44,8,5.48
Sulangan,1685422,11.14,82.53,75,86,8.05
Esperance,2071860,-33.86,51.8,100,90,5.82
Forestville,6944112,48.74,69.8,52,75,5.82
Guerrero,3836564,-24.19,50.0,31,90,11.41
Sangar,2017215,63.92,54.81,70,0,2.24
Smithers,6149996,54.78,51.8,100,75,2.24
Makat,608872,47.65,90.63,19,39,12.19
Riyadh,108410,24.63,109.4,7,7,23.04
Dingle,1714733,11.0,75.51,88,99,3.29
Ganzhou,1810638,25.86,75.51,92,0,2.8
Hamilton,5969785,43.26,77.0,77,20,6.93
Izumo,1861084,35.37,77.0,88,40,5.82
Zigos,733749,41.02,78.8,61,75,5.82
Finschhafen,2097418,-6.6,63.63,95,91,0.81
Micheweni,153955,-4.97,77.13,64,34,22.93
Muros,3115824,42.77,82.0,61,20,8.05
Leningradskiy,2123814,69.38,38.97,83,100,5.64
Hami,1529484,42.84,78.21,32,84,5.03
Chicama,3698359,-7.84,62.6,88,90,8.05
Colquechaca,3919720,-18.7,41.49,50,68,15.77
Kentau,1522751,43.52,87.57,19,0,13.44
Vanino,479426,53.93,68.85,82,100,7.85
Banjar,1650233,-7.37,68.49,90,45,0.56
Emerald,2167426,-23.53,59.0,58,0,5.82
Saint-Augustin,6138501,45.63,73.0,60,20,8.05
Portmore,3488981,17.97,87.8,55,20,20.8
Caconda,3351380,-13.73,85.59,14,0,0.45
Laguna,3581398,16.17,80.6,88,90,2.33
Sao Joao da Barra,3448903,-21.64,77.0,65,40,11.41
Ust-Kuyga,2013921,70.0,54.99,52,47,7.38
Seidu,2342616,8.32,81.27,75,34,6.82
Ahuimanu,5856516,21.44,80.6,88,75,10.29
Terrace Bay,6162951,48.78,60.8,72,20,4.7
Aksarka,1512019,66.56,60.93,56,100,12.28
Jining,1805518,35.41,86.0,95,69,5.84
Codrington,2160063,-28.95,55.99,93,0,10.29
Basco,4863349,40.33,71.6,72,1,5.82
Ramsar,9874,36.92,82.4,74,75,2.24
Narsingi,1261750,18.04,84.2,74,75,4.7
Sitka,4267710,37.17,68.0,66,0,5.01
Fare,4034496,-16.7,78.93,82,96,15.05
Nukus,601294,42.46,100.4,17,0,6.93
Aksay,610613,51.17,74.25,54,0,6.38
Meiganga,2227402,6.52,72.09,92,100,1.19
Rawson,3839307,-43.3,45.81,48,0,19.77
Mangan,1263776,27.5,60.57,99,83,1.66
Chuzhou,1814757,32.25,82.35,80,85,9.82
Gat,2249901,14.69,86.0,58,0,8.05
Naze,2337542,5.43,77.67,86,100,7.36
Ouadda,236901,8.07,78.03,79,95,4.23
Obera,3430340,-27.49,72.09,82,85,5.57
Palora,3653523,-1.7,66.2,93,90,3.36
Parau,2193733,-36.97,48.99,100,85,1.12
Isangel,2136825,-19.55,70.83,68,3,15.73
Gamba,1281256,28.28,48.15,65,89,11.23
Lorengau,2092164,-2.02,79.83,84,100,8.03
Miles City,5666176,46.41,71.01,68,1,8.05
Moron,3720455,18.56,84.15,62,27,2.3
Nakasongola,228418,1.32,76.23,75,65,2.68
Gari,1506676,59.43,69.75,65,0,4.38
Egvekinot,4031742,66.32,42.93,96,100,2.21
Pelotas,3454244,-31.77,59.0,100,90,2.24
Ilhabela,3461425,-23.78,73.89,68,25,5.01
Tumbotino,480453,56.0,73.0,77,75,11.18
Mar del Plata,3863379,-46.43,42.75,56,0,18.25
Iquique,3887127,-20.22,60.8,67,90,11.41
Chudniv,710381,50.05,69.03,67,83,11.39
Thinadhoo,1337610,0.53,83.97,72,59,11.12
Pishva,120972,35.31,104.0,8,40,13.87
Fort Saint James,5881688,54.43,54.27,91,1,2.89
Marsh Harbour,3571913,26.54,84.33,75,49,18.9
Petropavlovsk-Kamchatskiy,2122104,53.05,57.2,87,40,6.71
Alice Springs,2077895,-23.7,51.8,32,0,4.7
Gondanglegi,1640660,-7.75,67.59,93,23,4.97
Los Llanos de Aridane,2514651,28.66,77.0,65,20,17.22
Belmonte,8010472,40.36,98.01,31,37,8.55
Clyde River,5924351,70.47,55.4,76,1,5.82
Tekeli,1518296,44.86,71.73,25,6,0.96
Goundam,2456917,16.42,100.17,29,21,5.73
Saint-Joseph,3037456,43.56,96.8,49,0,5.82
Jalu,86049,29.03,98.91,15,0,16.91
Petawawa,6101607,45.89,69.01,63,20,8.05
Teguise,2510573,29.06,82.4,54,20,18.34
Port Macquarie,2152659,-31.43,50.0,93,0,4.43
Henties Bay,3356832,-22.12,64.0,73,0,7.0
San Jose,3602137,14.25,75.2,73,1,2.59
Paamiut,3421193,61.99,39.15,97,100,3.27
Whitehorse,6180550,60.72,57.2,93,75,5.82
Severo-Kurilsk,2121385,50.68,46.17,91,100,3.6
Wanning,3220813,48.64,88.0,35,20,5.82
Kavaratti,1267390,10.57,82.53,76,100,20.07
Beringovskiy,2126710,63.05,40.23,80,79,1.72
Warwick,5225507,41.7,66.99,100,90,16.11
Kidal,2455290,18.44,103.41,19,0,2.55
Balabac,1728675,7.99,81.45,79,100,4.83
Xining,1788852,36.62,47.43,86,91,4.43
Omboue,2396853,-1.57,74.25,85,40,17.45
Longyan,1802276,25.1,71.01,97,0,1.72
Chimbote,3698304,-9.08,62.37,89,100,12.66
Kefalos,260308,36.75,87.8,38,0,16.11
Zamora,3104342,41.51,93.2,23,20,10.29
Camacha,2270385,33.08,77.0,69,20,13.87
Jiuquan,1280957,39.73,72.63,27,4,4.85
Hirara,1862505,24.8,83.25,78,100,8.75
Dumas,1255364,21.09,87.8,74,40,3.36
Rocha,3440777,-34.48,54.81,72,100,12.93
Marawi,1701054,8.0,77.0,90,100,7.0
Trairi,3386177,-3.28,86.13,51,36,11.88
Guymon,5515743,36.68,66.0,82,40,9.17
Gutierrez,3832647,-39.11,46.35,42,0,8.72
Moree,2156927,-29.46,50.0,39,0,5.82
Faya,110690,18.39,86.0,47,40,16.11
Bonga,341742,7.26,65.07,96,76,0.96
Port Lincoln,2063036,-34.72,58.05,75,0,16.49
Aksu,1524298,52.04,73.4,60,75,6.53
Deputatskiy,2028164,69.3,51.57,41,93,12.88
Dzhebariki-Khaya,2024626,62.22,50.49,55,0,2.17
Mehamn,778707,71.03,68.0,64,0,4.7
Khandbari,1283217,27.38,60.39,99,100,1.3
Isiro,215771,2.77,74.97,90,38,3.27
Bunia,217695,1.56,71.73,92,40,2.55
Oranjestad,3577154,12.52,84.2,74,20,21.92
Gazanjyk,161974,39.24,103.95,22,0,6.15
Abomey,2395915,7.18,80.73,79,97,7.9
Sorong,1626542,-0.86,73.17,94,100,6.22
Kamyshin,553287,50.08,79.83,39,83,10.16
Elizabeth City,4465088,36.3,84.2,70,75,11.41
Pangai,4032369,-19.8,71.19,56,97,8.9
Sterling,4787534,39.0,70.0,83,90,11.41
Pereira Barreto,3454131,-20.64,81.81,40,0,11.41
Tahe,2034615,52.34,51.21,98,100,7.05
Kibala,2425791,9.11,89.6,52,20,11.36
Reforma,4011743,24.02,64.0,87,20,14.0
Suluq,81604,31.67,81.63,72,0,16.2
Praia,3460954,-20.25,68.0,60,20,11.41
Husavik,5961417,50.56,71.01,72,0,4.0
Ahome,4019098,25.92,80.01,78,75,6.02
Minot,5690532,48.23,72.0,68,1,4.7
Samsun,740263,41.29,81.0,69,40,11.41
Ibra,287832,22.69,85.23,52,2,7.49
Gradignan,3015419,44.77,106.0,17,0,2.24
Phalaborwa,965528,-23.95,80.6,13,0,10.29
Yangambi,203717,0.77,85.05,57,95,3.65
Anisoc,2310309,1.87,76.77,88,89,4.34
Byron Bay,2172880,-28.65,55.99,93,0,3.36
La Ronge,6050066,55.1,66.2,77,20,2.24
Manaure,3675504,11.78,86.0,70,75,13.87
Stonewall,6157355,50.13,71.01,72,0,4.0
La Sarre,6050194,48.8,50.13,87,100,5.75
Horsham,2163055,-36.71,39.87,91,10,8.28
Mahajanga,1062663,-15.72,84.2,20,0,9.17
Aripuana,3665202,-9.17,84.51,50,92,1.92
Broome,2656067,52.47,93.0,42,20,10.29
Mecca,104515,21.43,101.61,14,0,15.3
Pangnirtung,6096551,66.15,42.8,100,90,6.93
Seoul,1835848,37.57,82.4,88,90,3.36
Saint Lawrence,2562619,36.06,91.4,38,0,8.05
Lata,1253628,30.78,44.73,94,73,1.23
Pisco,3932145,-13.71,71.6,30,90,8.05
Portland,4975802,43.66,62.6,87,90,4.7
Makokou,2399371,0.56,78.57,80,79,4.16
Bossangoa,2388036,6.5,73.17,93,100,5.03
Luzilandia,3396101,-3.46,84.69,59,78,6.49
Vostok,2013279,46.45,67.59,93,94,4.38
Amapa,3603330,15.09,86.0,78,75,4.7
Seydi,2448024,13.34,90.63,38,34,2.66
Coahuayana,3981460,18.62,74.25,90,98,0.63
Grand-Lahou,2288105,5.24,81.99,66,91,8.3
Dunedin,2191562,-45.87,51.01,82,11,11.99
Okhotsk,2122605,59.36,45.99,78,0,3.27
Dukat,3184575,40.25,84.0,54,13,1.99
Alacranes,3569379,22.77,84.2,74,20,2.24
Strezhevoy,1490796,60.73,69.8,64,0,2.24
Gimli,5961417,50.63,71.01,72,0,4.0
Port Augusta,2063056,-32.49,59.0,72,90,9.17
San Juan,3837213,-31.54,31.59,55,46,4.34
Cordoba,3846616,-27.78,43.65,37,71,6.8
Gillette,5826027,44.29,68.0,82,1,13.87
Matamoros,3523466,25.87,87.01,84,1,3.36
Magole,155334,-6.37,66.87,49,0,5.66
Bucerias,4016734,20.76,80.01,88,75,6.93
San Nicolas,1688864,16.07,78.75,87,100,5.03
Yenagoa,2318123,4.92,76.95,87,100,7.29
Yar-Sale,1486321,66.83,57.69,59,56,14.94
Varkaus,632371,62.32,77.0,38,0,5.82
San Patricio,3437029,-26.98,68.67,94,100,2.8
Epe,2756071,52.18,96.01,33,0,4.7
Nouadhibou,2377457,20.93,78.8,61,0,13.87
Puerto Quijarro,3465342,-19.0,80.6,51,0,4.7
Belyy Yar,1510377,53.6,68.0,72,38,4.47
Bafoulabe,2460755,13.81,96.21,42,8,8.25
Buta,217570,2.79,84.33,56,44,2.84
San Antonio,3872395,-33.58,47.61,76,0,10.04
Kloulklubed,7671223,7.04,75.2,94,75,8.16
Millet,6074099,53.09,68.0,100,75,3.36
Kisangani,212730,0.52,82.71,63,74,1.66
Kirillov,548478,59.86,73.4,46,40,6.71
Sivaki,2016477,52.63,50.31,97,100,9.82
Baykit,1510689,61.68,64.17,60,100,5.84
Southbridge,4951594,42.08,66.2,100,90,9.17
Shegaon,1256620,20.8,92.79,45,93,3.53
Teguldet,1489822,57.31,55.17,81,8,2.95
Weiser,5611730,44.25,75.99,53,1,1.03
Wattegama,1241622,7.35,73.17,85,40,4.14
Hervey Bay,2146219,-25.3,57.0,87,0,2.3
Maraba,3395503,-5.35,89.6,46,0,4.7
Yakima,5816605,46.6,72.0,56,40,4.7
Okmulgee,4544383,35.62,73.99,73,1,11.41
Kalynivka,703446,50.23,78.8,41,0,11.18
